"job_title_short","avg_salary_remote_usd","avg_salary_onsite_usd","remote_job_count","onsite_job_count","degree_not_required","degree_required","total_postings"
"Data Analyst","96582","96927","1277","22828","7277","16828","24105"
"Data Scientist","138138","136318","2049","18695","1160","19584","20744"
"Data Engineer","137841","136774","1698","12746","4107","10337","14444"
"Senior Data Scientist","162546","157137","687","4457","313","4831","5144"
"Senior Data Analyst","116282","119821","354","4360","1292","3422","4714"
"Senior Data Engineer","147719","150779","548","3985","1153","3380","4533"
"Business Analyst","103596","105748","250","3434","800","2884","3684"
"Software Engineer","155105","124986","502","2411","1102","1811","2913"
"Machine Learning Engineer","144968","145266","197","2259","64","2392","2456"
"Cloud Engineer","137674","128805","52","552","202","402","604"
