"job_title_short","job_count","posted_year"
"Data Analyst","196439","2023"
"Data Engineer","186627","2023"
"Data Scientist","172564","2023"
"Senior Data Analyst","29250","2023"
"Senior Data Engineer","44679","2023"
"Senior Data Scientist","37027","2023"
"Data Analyst","115314","2024"
"Data Engineer","128254","2024"
"Data Scientist","98405","2024"
"Senior Data Analyst","15528","2024"
"Senior Data Engineer","29593","2024"
"Senior Data Scientist","21336","2024"
"Data Analyst","135752","2025"
"Data Engineer","115538","2025"
"Data Scientist","86878","2025"
"Senior Data Analyst","22073","2025"
"Senior Data Engineer","28604","2025"
"Senior Data Scientist","19436","2025"
